[C],[N],source,subsource
45,4.25,Source 1,1
45,4.25,Source 1,1
45,3.94,Source 1,1
45,4.71,Source 1,1
45,3.82,Source 1,1
45,4.12,Source 1,1
45,3.94,Source 1,1
45,4.15,Source 1,1
45,4.07,Source 1,1
45,5.04,Source 1,1
45,4.68,Source 1,1
45,4.66,Source 1,1
45,0.86,Source 1,1
45,0.97,Source 1,1
45,1.01,Source 1,1
45,4.3,Source 1,1
45,6.35,Source 1,1
45,4.34,Source 1,1
45,7,Source 1,1
45,7.43,Source 1,1
45,6.95,Source 1,1
45,1.38,Source 1,1
45,1.35,Source 1,1
45,1.02,Source 1,1
45,9.49,Source 1,1
45,7.59,Source 1,1
45,8.74,Source 1,1
45,8.71,Source 1,1
45,8.5,Source 1,1
45,8.76,Source 1,1
45,7.8,Source 1,1
45,8.54,Source 1,1
45,7.53,Source 1,1
45,4.55,Source 1,1
45,4.72,Source 1,1
45,4.44,Source 1,1
45,4.87,Source 1,1
45,4.74,Source 1,1
45,5.09,Source 1,1
45,1.19,Source 1,1
45,0.77,Source 1,1
45,0.57,Source 1,1
45,0.79,Source 1,1
45,1.03,Source 1,1
45,1.08,Source 1,1
45,1.4,Source 1,1
45,1.41,Source 1,1
45,1.4,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
52.31,0.64,Source 1,1
45,0.43,Source 1,1
45,0.56,Source 1,1
45,0.36,Source 1,1
45,0.65,Source 1,1
45,0.54,Source 1,1
45,0.62,Source 1,1
45,0.55,Source 1,1
45,0.61,Source 1,1
45,0.83,Source 1,1
