d13C,d15N,group,individual
?21.1,5.4,1,1
?22.6,3.5,1,2
?21.4,6.7,1,3
?19.9,6.7,1,4
?21.0,5.3,1,5
?20.6,5.1,1,6
?21.3,5.4,1,7
?20.0,3.8,1,8
?21.2,4,1,9
?20.4,6.6,1,10
?20.4,2.9,1,11
?21.0,3.5,1,12
?20.9,5.3,1,13
?20.5,4.9,1,14
?20.6,4.6,1,15
?20.9,5.9,1,16
?22.4,3.9,1,17
?22.9,4.8,1,18
?22.1,3.5,1,19
?20.8,4,1,20
?20.4,3.7,1,21
?20.8,4.9,1,22
?22.1,4.6,1,23
?22.2,4,1,24
?22.4,4.2,1,25
?20.6,4.1,1,26
?20.2,5.6,1,27
?20.2,4.4,1,28
?21.7,3.5,1,29
?20.7,4.7,1,30
?21.1,3.9,1,31
?20.6,4.3,1,32
?22.0,4.7,1,33
?21.3,4.2,1,34
?21.9,4.8,1,35
?22.5,4.3,1,36
?22.8,3.9,1,37
?22.3,3.6,1,38
?21.8,3.9,1,39
?22.0,6.3,1,40
?22.2,4.8,1,41
?20.7,4.1,1,42
?23.0,3.5,1,43
?23.1,3.8,1,44
?22.8,3.6,1,45
?21.6,3.6,1,46
?22.9,3.6,1,47
?21.5,3.5,1,48
?22.2,3.6,1,49
?20.3,3.6,1,50
?20.4,3.5,1,51
?19.4,4.1,1,52
?22.1,3.6,1,53
?21.9,4.3,1,54
?22.5,4.5,1,55
