d13C,d15N,source,subsource
-22.4,3.5,Source 1,1
-21.3,3.1,Source 1,1
-20.9,3.5,Source 1,1
-20.6,3,Source 1,1
-20.8,3.9,Source 1,1
-21.2,3.4,Source 1,1
-20.9,2.7,Source 1,1
-20.3,2.9,Source 1,1
-20.5,2.9,Source 1,1
-22.2,2.9,Source 1,1
-22.7,2.9,Source 1,1
-21.3,2.4,Source 1,1
-22.4,2.6,Source 1,1
-20.7,1.5,Source 1,1
-21.9,2.7,Source 1,1
-21.5,2.7,Source 1,1
-21.5,2.1,Source 1,1
-21.6,2.8,Source 1,1
-22.9,3,Source 1,1
-23.1,1.8,Source 1,1
-23.3,3,Source 1,1
-23.1,2.2,Source 1,1
-21.4,1.9,Source 1,1
-21.2,2.5,Source 1,1
-22.5,2.5,Source 1,1
-24,2.1,Source 1,1
-22.8,3.1,Source 1,1
-23.3,2.8,Source 1,1
-21.8,2.6,Source 1,1
-23.2,2.4,Source 1,1
-22.4,2.4,Source 1,1
-21.8,3.1,Source 1,1
-22.7,1.7,Source 1,1
-21.9,2.2,Source 1,1
-22.8,3.4,Source 1,1
-24.1,0.9,Source 1,1
-23,3,Source 1,1
-22.8,2.9,Source 1,1
-22.7,2.4,Source 1,1
-22.9,2.1,Source 1,1
-22.5,3.1,Source 1,1
-22,2.3,Source 1,1
-21.9,2.9,Source 1,1
-22,1.7,Source 1,1
-23,2.3,Source 1,1
-23.5,2.2,Source 1,1
-21.5,2.7,Source 1,1
-21.9,1.9,Source 1,1
-23.1,2.8,Source 1,1
-23.4,1.7,Source 1,1
-21.2,2.7,Source 1,1
-23.2,3.3,Source 1,1
-21.1,2.2,Source 1,1
-22.4,1.6,Source 1,1
-22,1.4,Source 1,1
-22.9,2.2,Source 1,1
-23,2.7,Source 1,1
-21.2,2.5,Source 1,1
-22.6,3,Source 1,1
-23,0.5,Source 1,1
-22.4,1.3,Source 1,1
-21.7,1.3,Source 1,1
-22.1,2.3,Source 1,1
-22.5,1.7,Source 1,1
-21.1,2.4,Source 1,1
-21.7,2.2,Source 1,1
-23.5,3.3,Source 1,1
-22.9,2.8,Source 1,1
-22.5,3.4,Source 1,1
-23.2,2.3,Source 1,1
-23.4,2.5,Source 1,1
-23.3,3.2,Source 1,1
-22.2,1.8,Source 1,1
-22.9,1.4,Source 1,1
-22,3.1,Source 1,1
-21,2.7,Source 1,1
-21.7,1.8,Source 1,1
-20.8,2,Source 1,1
-21.5,2.8,Source 1,1
-22.9,0.6,Source 1,1
-21.5,2.8,Source 1,1
-22.3,3.2,Source 1,1
-21.9,3.1,Source 1,1
-22.1,2.6,Source 1,1
-21.6,2.3,Source 1,1
-23.8,3.2,Source 1,1
-21.2,1.9,Source 1,1
-22.4,2.6,Source 1,1
-21.8,1.6,Source 1,1
-21.4,2.9,Source 1,1
-21.7,2.9,Source 1,1
-22.7,3.4,Source 1,1
-20.8,1.7,Source 1,1
-20.6,2.7,Source 1,1
-21.3,2.2,Source 1,1
-23,1.6,Source 1,1
-20.7,2.2,Source 1,1
-21.3,2,Source 1,1
-21.8,2.5,Source 1,1
-23,-0.2,Source 1,1
-21,2.1,Source 1,1
-21.1,2.1,Source 1,1
-22.4,2.4,Source 1,1
-21.7,2.8,Source 1,1
-21.4,1.3,Source 1,1
-23.2,2.4,Source 1,1
-21.3,2.1,Source 1,1
-22.5,1.1,Source 1,1
-21.3,2.1,Source 1,1
-21.2,2.3,Source 1,1
-21.7,2.2,Source 1,1
-21.5,2.6,Source 1,1
-22.2,1.9,Source 1,1
-22.3,2.4,Source 1,1
-20,2.4,Source 1,1
-21.4,2.3,Source 1,1
-21.6,2,Source 1,1
-21.3,2.5,Source 1,1
-22.5,2.4,Source 1,1
-21,2.9,Source 1,1
-22.2,3,Source 1,1
-22.6,1.6,Source 1,1
-20.1,2.5,Source 1,1
-19.9,1.8,Source 1,1
-22,1.9,Source 1,1
-21.6,1.9,Source 1,1
-21.9,3.3,Source 1,1
-20.7,3.1,Source 1,1
-20.3,2,Source 1,1
-21.8,2.7,Source 1,1
-20,2.5,Source 1,1
-20,3.1,Source 1,1
-21.5,2.9,Source 1,1
-19.9,2.3,Source 1,1
-20.6,2.5,Source 1,1
-17.67,8.8,Source 2,1
-17.19,8.37,Source 2,1
-17.1,8.87,Source 2,1
-17.16,9.08,Source 2,1
-17.06,8.3,Source 2,1
-15.46,9.16,Source 2,1
-16.51,9.11,Source 2,1
-17.13,8.88,Source 2,1
-16.58,9.64,Source 2,1
-18.76,8.92,Source 2,1
-17.14,8.21,Source 2,1
-17.09,9.51,Source 2,1
-16.92,9.14,Source 2,1
-17.61,8.22,Source 2,1
-15.84,8.7,Source 2,1
-17.25,8.42,Source 2,1
-16.19,8.94,Source 2,1
-16.25,9.23,Source 2,1
-17.77,8.32,Source 2,1
-18.42,7.78,Source 2,1
