Supplemental Table 3. Concentrations ([C] and [N]) for plants and animals sampled in Yosemite National Park, CA, USA, 2007. Digest [N] and [C] of plants (n = 134) and animals (n = 29) were calculated using the equations below. Digestible concentrations for Quercus spp. and Pinus spp. were calculated using the USDA National Nutrient Database (Table S4). Some data was also published as on-line material in Hopkins and Ferguson (2011; in Press),,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Species,Common name,% N,Digest N,Digest DM,Digest C,Digest [N],Digest [C]
,,,,,,,
,,,,,,,
,,,,,,,
GRASSES,,,,,,,
Agrostis sp.,Bent grass,1.65,1.49,35,15.75,4.25,45
Agrostis sp.,Bent grass,1.65,1.49,35,15.75,4.25,45
Agrostis sp.,Bent grass,1.53,1.38,35,15.75,3.94,45
Agrostis sp.,Bent grass,1.83,1.65,35,15.75,4.71,45
Agrostis sp.,Bent grass,1.49,1.34,35,15.75,3.82,45
Agrostis sp.,Bent grass,1.6,1.44,35,15.75,4.12,45
Agrostis sp.,Bent grass,1.53,1.38,35,15.75,3.94,45
Agrostis sp.,Bent grass,1.61,1.45,35,15.75,4.15,45
Agrostis sp.,Bent grass,1.58,1.42,35,15.75,4.07,45
Poa spp.,Blue grass,1.96,1.76,35,15.75,5.04,45
Poa spp.,Blue grass,1.82,1.64,35,15.75,4.68,45
Poa spp.,Blue grass,1.81,1.63,35,15.75,4.66,45
Avena spp.,Oats,0.33,0.3,35,15.75,0.86,45
Avena spp.,Oats,0.38,0.34,35,15.75,0.97,45
Avena spp.,Oats,0.39,0.35,35,15.75,1.01,45
FORBS,,,,,,,
Trifolium spp.,Clover,2.72,1.51,35,15.75,4.3,45
Trifolium spp.,Clover,2.89,2.22,35,15.75,6.35,45
Trifolium spp.,Clover,2.7,1.52,35,15.75,4.34,45
Montia spp.,Miner's lettuce,1.67,2.45,35,15.75,7,45
Montia spp.,Miner's lettuce,2.47,2.6,35,15.75,7.43,45
Montia spp.,Miner's lettuce,1.69,2.43,35,15.75,6.95,45
Perideridia parishii,Parish's yampah,0.54,0.48,35,15.75,1.38,45
Perideridia parishii,Parish's yampah,0.53,0.47,35,15.75,1.35,45
Perideridia parishii,Parish's yampah,0.4,0.36,35,15.75,1.02,45
Lupinus spp.,Lupine,3.69,3.32,35,15.75,9.49,45
Lupinus spp.,Lupine,2.95,2.66,35,15.75,7.59,45
Lupinus spp.,Lupine,3.4,3.06,35,15.75,8.74,45
Lupinus spp.,Lupine,3.39,3.05,35,15.75,8.71,45
Lupinus spp.,Lupine,3.31,2.97,35,15.75,8.5,45
Lupinus spp.,Lupine,3.41,3.06,35,15.75,8.76,45
Lupinus spp.,Lupine,3.03,2.73,35,15.75,7.8,45
Lupinus spp.,Lupine,3.32,2.99,35,15.75,8.54,45
Lupinus spp.,Lupine,2.93,2.64,35,15.75,7.53,45
Equisetum spp.,Horsetail,1.77,1.59,35,15.75,4.55,45
Equisetum spp.,Horsetail,1.84,1.65,35,15.75,4.72,45
Equisetum spp.,Horsetail,1.73,1.55,35,15.75,4.44,45
Equisetum spp.,Horsetail,1.9,1.71,35,15.75,4.87,45
