A.,,,,,,
,,,Units = gm X/100 gm wet weight,,,,,
,,,,,,,,
FOOD,DESCRIPTION,NBD#,WATER,PROTEIN,LIPID,CARBO,ASH,
,,,,,,,,TOTAL
,,,,,,,,
,"acorns, raw",12058,27.9,6.15,23.86,40.75,1.35,100.01
Acorns,,,,,,,,
Pinenuts,"pine nuts, dried",12147,2.28,13.69,68.37,13.08,2.59,100.01
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
B.,% dry macronutrient dry weight ,,,,,,,
,,,,,,,,
FOOD,,LIPID,CARBO,ASH,TOTAL,,,
,PROTEIN,,,,,,,
,,,,,,,,
,,33.09,56.51,1.87,100,,,
Acorns,8.53,,,,,,,
Pinenuts,14.01,69.96,13.38,2.65,100,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
C.,Units = gm X/100 gm dry weight,,,,,,,
,,,,,,,,
FOOD,PROTEIN [N],DIGEST  [N],PROTEIN [C],,LIPID [C],CARBO [C],DIGEST [C],
,,,,DIGEST,,,,
,,,,PROTEIN [C],,,,
,,,,,,,,
,,0.64,4.43,2.07,24.82,25.43,52.31,
Acorns,1.36,,,,,,,
Pinenuts,2.24,1.04,7.28,3.39,52.47,6.02,61.89,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Factors for calculating macronutrient dry weight from Robbins (1993) unless specified,,,,,,,,
Protein [N] = Protein (% dry weight) x 0.16,,,,,,,,
Digest [N] = Protein N * 0.466 (digestibility of pinenuts; used for acorns) from Mealey (1980),,,,,,,,
Protein [C] = Protein (% dry weight) x 0.52,,,,,,,,
Digest Protein [C] = Protein C x 0.466 (Mealey 1980),,,,,,,,
Lipid [C] = Lipid (% dry weight) x 0.75,,,,,,,,
Carbo [C] = Carbohydrate (% dry weight) x 0.45,,,,,,,,
Digest [C] = Digest Protein [C] + Lipid [C] + Carbo [C],,,,,,,,
,,,,,,,,
,,,,,,,,
LITERATURE CITED,,,,,,,,
,,,,,,,,
"Mealey, S. P. 1980. The natural food habits of grizzly bears in Yellowstone National Park, 1973-1974. Page 281–292 in C. J. Markinka and K. L. McArthur, editors. Bears—their biology and management: proceedings, fourth international conference on bear research and management. Bear Biology Association, Kalispell, Montana, USA.",,,,,,,,
,,,,,,,,
"Robbins C. T. 1993. Wildlife feeding and nutrition, 2nd edition. Academic Press, San Diego, California, USA",,,,,,,,
